question_id,phase1_response,after_response,change_reason,evidence_strength,phase2_remediation_class,primary_role,na_rationale
STA-03.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-04.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-05.1,NO,NO,"",WEAK,H_CUSTOMER_SHARED,OSP,""
STA-06.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-07.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-08.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-09.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-09.2,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-10.1,NO,NO,"",NONE,E_CI_SUPPLY_CHAIN,OSP,""
STA-11.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
STA-12.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-13.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
STA-14.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
STA-15.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
STA-16.1,NO,NO,"",WEAK,E_CI_SUPPLY_CHAIN,OSP,""
TVM-01.1,YES,YES,"",MODERATE,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
TVM-02.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-02.2,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
TVM-03.1,YES,YES,"",MODERATE,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-04.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-04.2,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-05.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-06.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-07.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-08.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-09.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-10.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-11.1,YES,YES,"",MODERATE,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-12.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
TVM-13.1,YES,YES,"",STRONG,A_SOURCE_CODE,OSP,""
TVM-13.2,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
UEM-01.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-01.2,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
UEM-02.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-03.1,NO,NO,"",NONE,J_ENDPOINT_SECURITY,OSP,""
UEM-04.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-05.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-06.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-07.1,NO,NO,"",NONE,J_ENDPOINT_SECURITY,OSP,""
UEM-08.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-09.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-10.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
UEM-11.1,NO,NO,"",NONE,J_ENDPOINT_SECURITY,OSP,""
UEM-12.1,NO,NO,"",NONE,J_ENDPOINT_SECURITY,OSP,""
UEM-13.1,NO,NO,"",NONE,J_ENDPOINT_SECURITY,OSP,""
UEM-14.1,NO,NO,"",WEAK,J_ENDPOINT_SECURITY,OSP,""
